A0A010RVF7	unreviewed	nitrate reductase (quinone)	taxID:1042209
A0A011TFK8	unreviewed	4Fe-4S Mo/W bis-MGD-type domain-containing protein	taxID:69279
A0A011UGZ8	unreviewed	nitrate reductase (quinone)	taxID:529
A0A011V430	unreviewed	nitrate reductase (quinone)	taxID:69279
A0A021VQM6	unreviewed	Nitrate reductase alpha subunit	taxID:948458
A0A021W1N6	unreviewed	nitrate reductase (quinone)	taxID:948458
A0A022FWY1	unreviewed	nitrate reductase (quinone)	taxID:574750
A0A022MDX7	unreviewed	nitrate reductase (quinone)	taxID:1470557
A0A022MIT0	unreviewed	Nitrate reductase alpha subunit	taxID:1470557
A0A023DDB3	unreviewed	nitrate reductase (quinone)	taxID:1220594
A0A023DIW1	unreviewed	nitrate reductase (quinone)	taxID:1220594
A0A023WND6	unreviewed	nitrate reductase (quinone)	taxID:316
A0A023X0W0	unreviewed	Nitrate reductase alpha subunit	taxID:42256
A0A024E4J3	unreviewed	nitrate reductase (quinone)	taxID:1147786
A0A024HBU1	unreviewed	nitrate reductase (quinone)	taxID:1301098
A0A024HMD9	unreviewed	nitrate reductase (quinone)	taxID:1301098
A0A024K2S3	unreviewed	Nitrate reductase alpha subunit	taxID:47839
A0A024L3N6	unreviewed	nitrate reductase (quinone)	taxID:562
A0A024L4G7	unreviewed	nitrate reductase (quinone)	taxID:562
A0A037Y3N9	unreviewed	nitrate reductase (quinone)	taxID:562
A0A045JWZ8	unreviewed	Nitrate reductase alpha subunit	taxID:1773
A0A051TQ60	unreviewed	Nitrate reductase alpha subunit	taxID:1324261
A0A059DP50	unreviewed	nitrate reductase (quinone)	taxID:1280944
A0A059FIH5	unreviewed	nitrate reductase (quinone)	taxID:1280952
A0A059FQU2	unreviewed	nitrate reductase (quinone)	taxID:1280951
A0A059G3D9	unreviewed	nitrate reductase (quinone)	taxID:1280953
A0A059L092	unreviewed	nitrate reductase (quinone)	taxID:1419583
A0A059XJS7	unreviewed	nitrate reductase (quinone)	taxID:77133
A0A059XJT1	unreviewed	4Fe-4S Mo/W bis-MGD-type domain-containing protein	taxID:77133
A0A059XPM0	unreviewed	4Fe-4S Mo/W bis-MGD-type domain-containing protein	taxID:77133
A0A059ZVY6	unreviewed	nitrate reductase (quinone)	taxID:637389
A0A060NTW2	unreviewed	nitrate reductase (quinone)	taxID:1458426
A0A061JQX2	unreviewed	nitrate reductase (quinone)	taxID:1218352
A0A061QDJ9	unreviewed	nitrate reductase (quinone)	taxID:1492281
A0A061SSQ6	unreviewed	nitrate reductase (quinone)	taxID:83219
A0A063BGI6	unreviewed	nitrate reductase (quinone)	taxID:1192124
A0A063YWH9	unreviewed	nitrate reductase (quinone)	taxID:1482739
A0A066PXI7	unreviewed	nitrate reductase (quinone)	taxID:1464546
A0A066QBV3	unreviewed	nitrate reductase (quinone)	taxID:562
A0A066SRB4	unreviewed	nitrate reductase (quinone)	taxID:562
A0A066UMG0	unreviewed	nitrate reductase (quinone)	taxID:743974
A0A069IFK6	unreviewed	nitrate reductase (quinone)	taxID:1470558
A0A069IIA8	unreviewed	nitrate reductase (quinone)	taxID:1470558
A0A069NNI9	unreviewed	nitrate reductase (quinone)	taxID:1071679
A0A069PNT3	unreviewed	nitrate reductase (quinone)	taxID:60547
A0A072N2A4	unreviewed	nitrate reductase (quinone)	taxID:1137280
A0A072NEI4	unreviewed	nitrate reductase (quinone)	taxID:1348973
A0A072NK79	unreviewed	nitrate reductase (quinone)	taxID:1348973
A0A072NTX9	unreviewed	nitrate reductase (quinone)	taxID:1348973
A0A073JPB4	unreviewed	nitrate reductase (quinone)	taxID:1598
A0A074JLT6	unreviewed	nitrate reductase (quinone)	taxID:1353528
A0A074M4S3	unreviewed	nitrate reductase (quinone)	taxID:1044
A0A075JP32	unreviewed	nitrate reductase (quinone)	taxID:403957
A0A075KBQ4	unreviewed	nitrate reductase (quinone)	taxID:484770
A0A076LP14	unreviewed	4Fe-4S Mo/W bis-MGD-type domain-containing protein	taxID:667120
A0A077DFC1	unreviewed	nitrate reductase (quinone)	taxID:1072685
A0A077FBY6	unreviewed	nitrate reductase (quinone)	taxID:237609
A0A077LJS3	unreviewed	nitrate reductase (quinone)	taxID:1028989
A0A077M5D3	unreviewed	nitrate reductase (quinone)	taxID:1194083
A0A077MH02	unreviewed	Nitrate reductase (Alpha subunit)	taxID:1193518
A0A077UGY6	unreviewed	nitrate reductase (quinone)	taxID:1654388
A0A078BI47	unreviewed	nitrate reductase (quinone)	taxID:554131
A0A078L9J5	unreviewed	nitrate reductase (quinone)	taxID:545
A0A078LGM7	unreviewed	nitrate reductase (quinone)	taxID:545
A0A078MRZ0	unreviewed	nitrate reductase (quinone)	taxID:1461584
A0A080MDY9	unreviewed	nitrate reductase (quinone)	taxID:2954383
A0A081HNM2	unreviewed	nitrate reductase (quinone)	taxID:287
A0A081I0H2	unreviewed	Nitrate reductase alpha subunit	taxID:1324269
A0A081LXU2	unreviewed	nitrate reductase (quinone)	taxID:573
A0A081XND2	unreviewed	Nitrate reductase alpha subunit	taxID:55952
A0A081XNE1	unreviewed	Nitrate reductase alpha subunit	taxID:55952
